name,water_parameters,fish_group,compatibility_with_crabs,temperature,pelvic_region,behaviour,compatibility_with_fish,tank_size,breeding,visual_effect,compatibility_with_shrimps,origin,diet,vegetation_possible,compatibility_with_snails_shells,compatibility_with_dwarf_crayfish,final_size,level_of_difficulty,characteristics,compatibility_with_large_crayfish,life_expectancy
Betta male Dumbo Ear poster lg-xl - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,calm,conditional (see description),54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Female Betta Dumbo Ear - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Betta male Halfmoon xl - Betta splendens,soft to hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),medium,forms precincts,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,1 - easy,,,
Kissing Gourami Gold - Helostoma temminckii,soft to medium hard,Labyrinth fish,,25-30 °C,center,,,over 1000l,medium,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,yes,conditional (see description),no,> 12cm,2 - normal,,,
Fighting fish male koi galaxy poster - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,especially colorful,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Betta female crested betta - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,especially colorful,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Betta male superdelta Dumbo Ear lg - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Betta Hybrid Alien Male - Betta splendens,soft to medium hard,Labyrinth fish,no,25-30 °C,center,normal,,54 l (ca. 60cm),medium,especially colorful,with shrimp 4-6 cm size,Asia,carnivore - meat eater,yes,no,no,4-8 cm,4 - special,interesting color,no,3-5 years
Mosaic Gourami gold DNZ - Trichogaster leeri,soft to medium hard,Labyrinth fish,no,22-28 °C,center,calm,"yes, with peaceful fish",250/300 l (ca. 120cm),medium,forms territories (when spawning),"with dwarf shrimp, offspring may be eaten",Asia,,yes,yes,no,> 12cm,2 - normal,interesting parental care,no,5-10 years
Betta male Superdelta koi - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Betta splendens female poster DNZ - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,calm,no,54 l (ca. 60cm),medium,especially colorful,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Female fighting fish super delta lg - Betta splendens,soft to hard,Labyrinth fish,no,22-28 °C,center,calm,conditional (see description),54 l (ca. 60cm),medium,especially colorful,with shrimp 4-6 cm size,Asia,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,2 - normal,interesting color,no,3-5 years
Fighting fish male white poster lg - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Betta male black poster lg-xl - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
2x peaceful fighting fish - Betta imbellis - pair,soft to medium hard,Labyrinth fish,,18-28 °C,top,,,54 l (ca. 60cm),medium,forms territories (when spawning),"with dwarf shrimp, offspring is eaten",Asia,carnivore - meat eater,yes,yes,no,4-8 cm,2 - normal,,,
Betta male fork tail full moon lg-xl - Betta splendens,soft to hard,Labyrinth fish,no,24-28 °C,everywhere,normal,no,54 l (ca. 60cm),medium,interesting body shape,socialization not possible,Asia,carnivore - meat eater,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
2 x macropod blue - Macropodus opercularis - pair,soft to hard,Labyrinth fish,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,Asia,omnivorous - omnivorous,yes,yes,conditional (see description),8-12 cm,1 - easy,,,
Betta male crested xl,soft to hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,conditional (see description),no,8-12 cm,1 - easy,,,
"Betta male Superdelta ""Dumbo Ear""xl",soft to hard,Labyrinth fish,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,with shrimp > 6 cm ,Asia,carnivore - meat eater,yes,conditional (see description),no,4-8 cm,1 - easy,,,
2x Gourami - Trichogaster leeri - pair,soft to medium hard,Labyrinth fish,,25-30 °C,top,,,200 l (ca. 100cm),simply,forms territories (when spawning),"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,8-12 cm,1 - easy,,,
Endler Guppy - Poecilia wingei - (Nano Fish - Female & Male),hard water,Tooth carp,,25-30 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
Platy 'Marygold Glowlight' - Xiphophorus maculatus,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Molly silver - Poecilia sphenops,hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Molly ""Goldstaub Lyra"" - Poecilia sphenops",medium hard to hard,Tooth carp,no,22-28 °C,everywhere,normal,"yes, with peaceful fish",100 l (ca. 80cm),simply,interesting body shape,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,conditional (see description),yes,yes,8-12 cm,1 - easy,colorful,no,5-10 years
Male Lemon Guppy - Poecilia reticulata,soft to hard,Tooth carp,,20-25 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
"Molly ""gold dust"" - Poecilia sphenops",hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,Central America,omnivorous - omnivorous,conditional (see description),yes,yes,8-12 cm,1 - easy,,,
Male Flame Guppy - Poecilia reticulata,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
"Platy ""tricolor"" - Xiphophorus maculatus",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Germany Platy 'glowing light' - Xiphophorus maculatus,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Endler guppy male red scarlett - Poecilia reticulata,soft to hard,Tooth carp,no,18-28 °C,center,normal,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,interesting color,no,5-10 years
"Guppy male ""neon blue"" - Poecilia reticulata",medium hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Red Platy - Xiphophorus maculatus,hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Parrot Platy ""Highfin"" - Xiphophorus variatus",hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Male ""gold laser"" guppy - Poecilia reticulata",medium hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
"Platy ""Rainbow"" - Xiphophorus maculatus",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Germany Platy - Xiphophorus maculatus,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Molly ""Dalmatian"" - Poecilia sphenops",hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Female ""red blond"" guppy - Poecilia reticulata",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
"Swordtail ""Pineapple"" - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
Swordtail Koi Kohaku - Xiphophorus Helleri,soft to hard,Tooth carp,,20-25 °C,center,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Central America,,yes,yes,yes,8-12 cm,1 - easy,,,
Parrot Platy - Xiphophorus variatus,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"""Wagtail Red"" Swordtail - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Platy ""pineapple needle"" - Xiphophorus maculatus",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Platy ""Red Wagtail"" - Xiphophorus maculatus",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Swordtail ""Black"" - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Platy ""bleeding heart"" - Xiphophorus maculatus",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Guppy male ""red blond"" - Poecilia reticulata",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
"Guppy male ""Cobra Green"" - Poecilia reticulata",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Platy blue mickey mouse - Xiphophorus maculatus,soft to hard,Tooth carp,no,18-28 °C,everywhere,normal,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,colorful,no,3-5 years
"Swordtail ""Neon"" - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,200 l (ca. 100cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,conditional (see description),8-12 cm,1 - easy,,,
"Guppy male ""red tuxedo"" - Poecilia reticulata",medium hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
"Ballonmolly ""mix"" - Poecilia latipinna",brackish water,Tooth carp,,25-30 °C,top,,,400/450 l (ca. 150cm),medium,especially colorful,socialization not possible,South America,omnivorous - omnivorous,conditional (see description),yes,no,> 12cm,4 - special,,,
"Guppy male ""dumbo ear"" - Poecilia reticulata",medium hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Female Lemon Guppy - Poecilia reticulata,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Swordtail Koi Kohaku lyra - Xiphophorus Helleri,medium hard to hard,Tooth carp,no,20-28 °C,everywhere,normal,"yes, with peaceful fish",100 l (ca. 80cm),medium,interesting body shape,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,conditional (see description),yes,yes,8-12 cm,1 - easy,colorful,no,3-5 years
Guppy koi tuxedo - Poecilia reticulata,soft to hard,Tooth carp,no,20-25 °C,center,active,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,1-4 cm,1 - easy,interesting color,no,3-5 years
"Swordtail ""Red"" - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,200 l (ca. 100cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Swordtail ""Koi Sanke"" - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,200 l (ca. 100cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Blue Platy ""tuxedo"" - Xiphophorus maculatus",hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Parrot Platy ""Hawaii"" - Xiphophorus variatus",hard water,Tooth carp,,20-25 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Guppy koi blond tuxedo - Poecilia reticulata,soft to hard,Tooth carp,no,20-25 °C,center,active,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,1-4 cm,1 - easy,interesting color,no,3-5 years
Female Guppy Flame - Poecilia reticulata,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Endler guppy male el tigre - Poecilia wingei,soft to hard,Tooth carp,no,18-22 °C,center,normal,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,no,no,1-4 cm,1 - easy,interesting color,no,5-10 years
Platy 'blue calico glowlight' - Xiphophorus maculatus,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Female black panda guppy - Poecilia reticulata,soft to hard,Tooth carp,no,20-28 °C,top,normal,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Molly color mix male - Poecilia sphenops,hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Guppy male ""blue moscow"" - Poecilia reticulata",soft to hard,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
"Swordtail ""Green"" - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Endler's guppy male ""green tiger"" - Poecilia wingei",hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
"Female Guppy ""Snake Green"" - Poecilia reticulata",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Endler Guppy female natural form - Poecilia wingei,soft to hard,Tooth carp,no,18-28 °C,center,normal,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,interesting color,no,5-10 years
Molly black - Poecilia sphenops,hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Swordtail ""Marygold"" - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
Swordtail pineapple wagtail - Xiphophorus Helleri,medium hard to hard,Tooth carp,no,20-28 °C,everywhere,normal,"yes, with peaceful fish",100 l (ca. 80cm),simply,interesting body shape,"with dwarf shrimp, offspring may be eaten",Central America,omnivorous - omnivorous,conditional (see description),yes,yes,8-12 cm,1 - easy,interesting color,no,3-5 years
"Swordtail ""Lyra"" - Xiphophorus Helleri",hard water,Tooth carp,,18-28 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Guppy male ""Dumbo ear"" - Poecilia reticulata",medium hard water,Tooth carp,,20-25 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
"Sailfin ""mix"" - Poecilia velifera",brackish water,Tooth carp,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),with shrimp 4-6 cm size,Central America,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
Endler Guppy male natural form - Poecilia wingei,medium hard to hard,Tooth carp,no,22-28 °C,top,active,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,1-4 cm,1 - easy,dynamic group behaviour,no,3-5 years
"Guppy male ""Mosaic"" - Poecilia reticulata",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
"Sailfin ""gold"" - Poecilia velifera",brackish water,Tooth carp,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,especially colorful,with shrimp 4-6 cm size,Central America,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
Bumblebee Platy - Xiphophorus maculatus,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Parrot Platy ""Hawaii - high fin"" - Xiphophorus variatus",hard water,Tooth carp,,20-25 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Swordtail Lyre Mix - Xiphophorus Helleri,hard water,Tooth carp,,18-28 °C,top,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
"Male guppy ""Koi kohaku"" - Poecilia reticulata",medium hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
"Sailfin ""red"" - Poecilia velifera - DNZ",brackish water,Tooth carp,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,especially colorful,with shrimp 4-6 cm size,Central America,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
"Sailfin ""dalmatian"" - Poecilia velifera",brackish water,Tooth carp,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,especially colorful,with shrimp 4-6 cm size,Central America,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
"Guppy male ""cobra blue"" - Poecilia reticulata",medium hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
"Guppy male ""neon red tuxedo"" - Poecilia reticulata",hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,1 - easy,,,
Molly silver lyre - Poecilia sphenops,hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
Male arctic blue guppy - Poecilia reticulata,medium hard water,Tooth carp,,20-25 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
Molly leopard - Poecilia sphenops,hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,8-12 cm,1 - easy,,,
Guppy male german yellow - Poecilia reticulata,soft to hard,Tooth carp,no,18-28 °C,center,normal,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,interesting color,no,5-10 years
Molly Copper - Poecilia sphenops,medium hard to hard,Tooth carp,no,22-28 °C,everywhere,normal,"yes, with peaceful fish",100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,conditional (see description),yes,yes,8-12 cm,1 - easy,growth eater,no,5-10 years
Platy Berliner - Xiphophorus maculatus,medium hard to hard,Tooth carp,no,18-28 °C,everywhere,normal,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,interesting color,no,3-5 years
Male blue glass guppy - Poecilia reticulata,medium hard water,Tooth carp,no,20-25 °C,center,active,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,interesting color,no,3-5 years
Female blue glass guppy - Poecilia reticulata,soft to hard,Tooth carp,no,20-28 °C,top,normal,"yes, with peaceful fish",54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,colorful,no,3-5 years
"Female guppy ""koi kohaku"" - Poecilia reticulata",hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,1 - easy,,,
"Sailfin ""black"" - Poecilia velifera",brackish water,Tooth carp,,20-25 °C,center,,,250/300 l (ca. 120cm),medium,forms territories (when spawning),with shrimp 4-6 cm size,Central America,omnivorous - omnivorous,yes,yes,no,8-12 cm,2 - normal,,,
Hawaiian Platy - Xiphophorus maculatus,hard water,Tooth carp,,20-25 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Endler Guppy ""Japan blue"" - Poecilia wingei - M",hard water,Tooth carp,,25-30 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
Gold Molly Lyratail - Poecilia sphenops,hard water,Tooth carp,,25-30 °C,top,,,100 l (ca. 80cm),simply,especially colorful,with shrimp 4-6 cm size,Central America,omnivorous - omnivorous,conditional (see description),yes,yes,8-12 cm,1 - easy,,,
Brush Platy 'Wagtail' - Xiphophorus maculatus,hard water,Tooth carp,,18-28 °C,top,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring is eaten",Central America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Female german yellow guppy - Poecilia reticulata,soft to hard,Tooth carp,no,18-28 °C,center,normal,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,no,4-8 cm,2 - normal,interesting color,no,5-10 years
